Compound,Date,Negative,Neutral,Positive,Tweet,User
0.0,Fri Aug 17 12:53:39 +0000 2018,0.0,1.0,0.0,RT @CNNMoney: President Trump asks SEC to study abolishing quarterly earnings reports https://t.co/ds5mhTLn1J https://t.co/N9k71ee4pu,@CNNbrk
-0.0772,Fri Aug 17 00:07:04 +0000 2018,0.085,0.845,0.07,The Department of Defense says the military parade originally scheduled for Veterans Day will be postponed to at le… https://t.co/XhkxtBlXqG,@CNNbrk
0.0,Thu Aug 16 21:23:34 +0000 2018,0.0,1.0,0.0,The jury weighing the fate of former Trump campaign manager Paul Manafort will continue its deliberations Friday… https://t.co/sl23VzjgGK,@CNNbrk
-0.6369,Thu Aug 16 20:06:58 +0000 2018,0.189,0.811,0.0,"The Vatican breaks its silence on the report detailing decades of abuse by Pennsylvania priests, calling it ""crimin… https://t.co/1He6BkitGa",@CNNbrk
-0.8979,Thu Aug 16 19:23:22 +0000 2018,0.353,0.647,0.0,"Al Qaeda bomb maker behind the ""underwear bomb"" attempt to blow up a US airliner in 2009 may have been killed, UN t… https://t.co/MdXKRozWOB",@CNNbrk
0.296,Thu Aug 16 17:41:35 +0000 2018,0.068,0.812,0.12,"Oprah Winfrey paid tribute to Aretha Franklin by sharing a photograph of the pair with the caption, ""We will miss y… https://t.co/3b2apraTiF",@CNNbrk
0.7096,Thu Aug 16 15:24:20 +0000 2018,0.0,0.753,0.247,"Rock &amp; Roll Hall of Fame remembers Aretha Franklin as ""an artist of passion, sophistication and command."" Follow li… https://t.co/BVKFdtKh4z",@CNNbrk
0.1027,Thu Aug 16 14:17:36 +0000 2018,0.154,0.643,0.204,"Aretha Franklin is dead at 76. She inspired generations and hits like ""Respect"" and ""Think"" stood for black and fem… https://t.co/tt5YT721LT",@CNNbrk
-0.7269,Thu Aug 16 04:54:06 +0000 2018,0.243,0.757,0.0,"Two women charged with murdering Kim Jong Nam, the half-brother of North Korean leader Kim Jong Un, will remain in… https://t.co/tcWd55B7hu",@CNNbrk
0.4215,Thu Aug 16 02:42:34 +0000 2018,0.0,0.833,0.167,RT @CNNMoney: China says trade talks with the United States are back on https://t.co/ic4GVyJTqi https://t.co/eHNCuH9ofz,@CNNbrk
0.0,Wed Aug 15 22:55:45 +0000 2018,0.0,1.0,0.0,Jury will begin deliberating on Thursday morning whether to convict former Trump campaign manager Paul Manafort of… https://t.co/iHvMJpcvLQ,@CNNbrk
0.34,Wed Aug 15 18:56:51 +0000 2018,0.0,0.862,0.138,"President Trump revokes security clearance of ex-CIA director John Brennan, citing his ""increasingly frenzied comme… https://t.co/STXx47f3Yq",@CNNbrk
-0.936,Wed Aug 15 17:38:18 +0000 2018,0.457,0.543,0.0,"A suicide attack in the Afghan capital of Kabul killed at least 48 people, an official said. There was no immediate… https://t.co/HIC61Ar9e5",@CNNbrk
-0.4019,Wed Aug 15 14:16:15 +0000 2018,0.153,0.847,0.0,Closing arguments begin in the trial of ex-Trump campaign chairman Paul Manafort. Follow live updates:… https://t.co/M6IOHv1oRk,@CNNbrk
-0.3182,Wed Aug 15 13:38:48 +0000 2018,0.091,0.909,0.0,"RT @CNNMoney: Stocks slump at the open. Dow loses 160 points, or 0.6%. Nasdaq drops 0.8%. Macy's falls 8% despite raising outlook. Watch li…",@CNNbrk
0.0274,Fri Aug 24 19:36:00 +0000 2018,0.156,0.68,0.164,".@VP: ""America will not ever abandon the critical domain of space."" https://t.co/p9lTZ9hfCK",@FoxNews
0.0,Fri Aug 24 19:35:11 +0000 2018,0.0,1.0,0.0,.@POTUS arrives in Ohio. (Courtesy: WBNS) https://t.co/Uvod7IcoZ2,@FoxNews
-0.4939,Fri Aug 24 19:29:33 +0000 2018,0.198,0.802,0.0,.@POTUS renewed pressure Friday on Jeff Sessions to investigate the actions of his adversaries after the attorney g… https://t.co/M0KiapVVtX,@FoxNews
0.0,Fri Aug 24 19:19:44 +0000 2018,0.0,1.0,0.0,.@TheJuanWilliams Presses @jasoninthehouse: Is GOP 'Calling for a Saturday Night Massacre'? #AmericasNewsroom https://t.co/JpO0jlnwX5,@FoxNews
0.0,Fri Aug 24 19:07:34 +0000 2018,0.0,1.0,0.0,A Montana restaurant offers a percentage off your birthday dinner based on your age. So a 109-year-old woman actual… https://t.co/mzoqkntviO,@FoxNews
-0.5574,Fri Aug 24 18:56:00 +0000 2018,0.265,0.735,0.0,Palau taking new approach to tourism following China's travel ban https://t.co/LYWwgHnUAV,@FoxNews
0.0,Fri Aug 24 18:54:02 +0000 2018,0.0,1.0,0.0,RT @FoxBusiness: Parents expect kids to foot more of their college bill: Study https://t.co/6hr5ewqZ9h,@FoxNews
-0.6597,Fri Aug 24 18:49:01 +0000 2018,0.375,0.625,0.0,19 foreign nationals charged with illegal voting during 2016 election https://t.co/oLzLC1cx0p,@FoxNews
-0.296,Fri Aug 24 18:45:17 +0000 2018,0.091,0.909,0.0,"Ian Prior: ""One of the reasons why James Comey is no longer at the FBI is because he talked about ongoing investiga… https://t.co/7gyCejU6To",@FoxNews
-0.2023,Fri Aug 24 18:39:11 +0000 2018,0.096,0.904,0.0,".@gen_jackkeane on @POTUS cancelling NK trip: ""I think it's confirmation of what we've been receiving through intel… https://t.co/w1E1mNZ1pq",@FoxNews
0.0,Fri Aug 24 18:32:21 +0000 2018,0.0,1.0,0.0,"What may be the world's most expensive Ford Pinto sold for $33,000 https://t.co/bMQ6KPTUNW",@FoxNews
0.0,Fri Aug 24 18:21:24 +0000 2018,0.0,1.0,0.0,Air Force One departs Joint Base Andrews  https://t.co/YL4XBpoQV1,@FoxNews
0.0,Fri Aug 24 18:19:01 +0000 2018,0.0,1.0,0.0,Dairy farm turns to GoFundMe for survival https://t.co/TNRi7A16qe,@FoxNews
0.5423,Fri Aug 24 17:54:34 +0000 2018,0.0,0.743,0.257,".@RepChrisStewart: ""I know @POTUS is committed to engaging with them. I know @SecPompeo is."" #OutnumberedOT https://t.co/bMpIbTESiP",@FoxNews
-0.25,Fri Aug 24 17:49:18 +0000 2018,0.154,0.846,0.0,"Trump urges Secretary of State Pompeo to cancel North Korea trip
https://t.co/8Dn9PTnGLy",@FoxNews
0.7506,Fri Aug 24 17:44:20 +0000 2018,0.0,0.652,0.348,JUST IN: Ohio GOP state Sen. Troy Balderson wins US House special election https://t.co/Eu3YazPgK1,@FoxNews
0.0,Fri Aug 24 17:42:26 +0000 2018,0.0,1.0,0.0,"BREAKING: President @realDonaldTrump: ""I have asked Secretary of State Mike Pompeo not to go to North Korea, at thi… https://t.co/tw7jDPE6PL",@FoxNews
0.0,Fri Aug 24 17:33:18 +0000 2018,0.0,1.0,0.0,"Thomas Homan: ""We need to enforce the law."" #OutnumberedOT https://t.co/h0Bor5oPmo",@FoxNews
0.0,Fri Aug 24 17:31:45 +0000 2018,0.0,1.0,0.0,.@VP Mike Pence delivers remarks at the Republican National Lawyers Association Summer Luncheon.  https://t.co/AAlkWKHv6p,@FoxNews
0.0,Fri Aug 24 17:27:37 +0000 2018,0.0,1.0,0.0,"In this photo taken Thursday, Aug. 23, 2018, Mount Etna volcano spews lava during an eruption. Mount Etna in Sicily… https://t.co/7WUYvqQPRK",@FoxNews
0.5106,Fri Aug 24 17:26:06 +0000 2018,0.0,0.769,0.231,Kansas Chick-fil-A barring 'professional campers' from scoring free food for a year https://t.co/lwGWvmAe5Q,@FoxNews
0.0,Fri Aug 24 17:16:49 +0000 2018,0.0,1.0,0.0,.@JohnKerry tweets about Sen. John McCain. https://t.co/27TPc1Pl0D https://t.co/xbm3Zm9LP6,@FoxNews
0.296,Fri Aug 24 17:12:11 +0000 2018,0.0,0.845,0.155,Sony reportedly admits it faked several Michael Jackson songs on posthumous album https://t.co/R478k1335T,@FoxNews
0.7003,Fri Aug 24 16:58:00 +0000 2018,0.0,0.746,0.254,".@RepMarkWalker: ""It probably is time for Jeff to maybe transition. I hope that's his decision. I hope it doesn't c… https://t.co/oOes0uYokf",@FoxNews
0.4939,Fri Aug 24 16:54:00 +0000 2018,0.0,0.758,0.242,"On @foxandfriends, @cvpayne praised the U.S. economy under President @realDonaldTrump. https://t.co/GDkRi5BthF",@FoxNews
0.0,Fri Aug 24 16:44:00 +0000 2018,0.0,1.0,0.0,".@LisaMarieBoothe: ""A Fox News Poll shows that the majority of Americans say that they are either very or somewhat… https://t.co/VtSSqiLbrs",@FoxNews
-0.0258,Fri Aug 24 16:42:18 +0000 2018,0.185,0.637,0.178,'It's Really Quite Disgusting': @benshapiro Slams Attacks on @VP's Christian Faith https://t.co/XpKAVaZVmu,@FoxNews
-0.25,Fri Aug 24 16:38:33 +0000 2018,0.154,0.846,0.0,".@dagenmcdowell: ""Looking at the inaction, you can smell the fecklessness."" #Outnumbered https://t.co/hhS9kbdrlU",@FoxNews
0.5574,Fri Aug 24 16:37:48 +0000 2018,0.0,0.66,0.34,Supreme Court decisions could curb campus censorship https://t.co/et0fjauiLL,@FoxNews
-0.7003,Fri Aug 24 16:37:18 +0000 2018,0.329,0.571,0.1,"Instagram fitness model killed moped rider while drunk and high before fleeing, police say https://t.co/cg6FbKayi6",@FoxNews
0.3612,Fri Aug 24 16:27:03 +0000 2018,0.0,0.706,0.294,Do you agree with @NancyPelosi? https://t.co/9BWsBQB2NR https://t.co/we7vtuzrRD,@FoxNews
